name,phone,taxCode
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU HELEN,"0384822807
","3703343091
"
CÔNG TY TNHH THÀNH PHƯƠNG FOODS,"0922064392
","3703342651
"
CÔNG TY TNHH TTL EXPRESS,"0975001570
","5600350005
"
CÔNG TY TNHH TTL EXPRESS,"0975001570
","5600350005
"
CÔNG TY TNHH MTV SX - TM HOÀNG GIA KHÁNH,"0857826826
","3703342588
"
CÔNG TY TNHH MTV SX TM BAO BÌ THANH PHONG,"0969446747
","3703342549
"
CÔNG TY TNHH VẬT LIỆU MỚI HAO MING,"02743990200
","3703342531
"
CÔNG TY TNHH TẦM AN KHANG,"0394773729
","3703342404
"
CÔNG TY TNHH MỘT THÀNH VIÊN KINH DOANH VẬN TẢI VŨ MINH TIẾN,"0937316636
","3703344017
"
CÔNG TY TNHH KARAOKE NHẤT PHƯƠNG,"0985556979
","3703343630
"
CÔNG TY TNHH THỜI TRANG ANH TRÍ,"0935152288
","3703343599
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NGỌC THỊNH PHÁT,"0583796789
","3703343574
"
CÔNG TY TNHH DỊCH VỤ VẬN TẢI BẢO PHAN,"0386282686
","3703343542
"
CÔNG TY TNHH DỊCH VỤ HẢI SẢN CỬA BIỂN NEW 9,"0978221059
","3703343528
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ QUANG CHUNG,"0982924770
","3703343662
"
CÔNG TY TNHH MÁY LẠNH Ô TÔ THUẬN PHÁT,"0356688451
","3703343359
"
CÔNG TY TNHH CỬA SẮT THANH XUÂN,"0947540539
","3703343334
"
CÔNG TY TNHH ỨNG DỤNG KHOA HỌC TÂM LÝ THƯƠNG THƯƠNG,"0358403879
","3703343292
"
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT KIM LONG PHÁT PLASTIC,"0939304119
","3703343285
"
CÔNG TY TNHH MTV TH TECHNICAL VIỆT NAM,"0944382238
","3703343253
"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ GIÁO DỤC NINH PHÁT,"0347741639
","3703343239
"
CÔNG TY TNHH PHÚ PHÚ HÀO,"0976890096
","3703343165
"
CÔNG TY TNHH DV-VT HÀ KIM PHÁT,"0913412378
","3703343126
"
CÔNG TY TNHH DV MINH CHIẾN,"0858973785
","3703343119
"
CÔNG TY TNHH THƯƠNG MẠI ĐIỆN NƯỚC TẤN PHÁT,"0977885407
","3703343084
"
CÔNG TY TNHH KỸ THUẬT ĐIỆN DUY TIẾN,"0382494058
","3703343077
"
CÔNG TY TNHH CƠ KHÍ TỊNH TIẾN,"03387278717
","3703343052
"
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ECO MINH KHANG,"0888249444
","3703342595
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU NGỌC HƯƠNG,"0961447088
","3703342570
"
CÔNG TY TNHH XE QUỐC ĐẠT BÌNH DƯƠNG,"0913749618
","3703342556
"
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI ĐẶNG HIỀN,"0706652486
","3703342394
"
CÔNG TY TNHH TTL EXPRESS,"0975001570
","5600350005
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SỮ THÀNH TRUNG,"0853176719
","3703343623
"
CÔNG TY TNHH THƯƠNG MẠI CƯỜNG MAI,"0393024014
","3703343616
"
CÔNG TY TNHH TM DV HAI TIẾN,"0979188489
","3703343609
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH BÌNH THUẬN,"0972725127
","3703343581
"
CÔNG TY TNHH HOÀNG DŨNG HOÀNG,"0901848879
","3703343567
"
CÔNG TY TNHH PHÁT TRIỂN TRI THỨC THE KEY,"0978911115
","3703343535
"
CÔNG TY TNHH MTV TÍN NGHĨA PHÁT,"0967355584
","3703343503
"
CÔNG TY TNHH CAPCO WAI SHING VIỆT NAM (NỘP HỘ NTNN),"0283948258102839482580
","3703344049
"
CÔNG TY TNHH ĐẦU TƯ - XÂY DỰNG TÂN PHÚ (NỘP HỘ NTNN),"02743755039702743755700
","3703344031
"
CÔNG TY TNHH SUNVIET TECHNOLOGY INDUSTRIAL (NỘP HỘ NTNN),"85221521630
","3703344024
"
CÔNG TY TNHH TRẦN THÌN BUSINESS,"0972766399
","3703343510
"
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ SMART SOLAR,"0962232907
","3703343493
"
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VẬN TẢI KHÁNH LY,"0932888779
","3703343278
"
CÔNG TY TNHH THƯƠNG MẠI PHỤ TÙNG Ô TÔ YẾN THANH,"0968898879
","3703343133
"
CÔNG TY TNHH NHA KHOA THẨM MỸ VUZELA HT,"0523364669
","3703343101
"
CÔNG TY TNHH ÂN RS,"0984062196
","3703341640
"
CÔNG TY TNHH THỜI TRANG SMART FASHION,"0973545558
","3703343479
"
CÔNG TY TNHH BÁN BUÔN TMDV ĐỒNG TÂM,"0373793923
","3703342958
"
"CÔNG TY TNHH TAHA,S CAFE","0985732039
","3703342732
"
CÔNG TY TNHH DỊCH VỤ & THƯƠNG MẠI THE BEST,"0909680960
","3703341753
"
CÔNG TY TNHH MỘT THÀNH VIÊN NGUYỄN THẠCH SET DESIGN,"0934887552
","3703341697
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI PHẠM ÁNH VIỆT NAM,"0988563434
","3703341672
"
CÔNG TY TNHH SAKUYA COFFEE & MART,"0982941989
","3703343486
"
CÔNG TY TNHH ĐẠI DƯƠNG KHANG,"0972722378
","3703343447
"
CÔNG TY TNHH NHÀ MAY KIỀU NHÂN,"0933774877
","3703343422
"
CÔNG TY TNHH NỘI THẤT AOTONG (VIỆT NAM),"0973522774
","3703342757
"
CÔNG TY TNHH QUỐC TẾ SEATECH,"0355915052
","3703343461
"
CÔNG TY TNHH THIẾT BỊ NGHE NHÌN THIÊN ĐẾ,"0824822220
","3703343454
"
CÔNG TY TNHH SX TM SONG PHÁT,"0847579679
","3703343415
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ ĐIỆN NƯỚC HƯNG PHÁT,"0977691023
","3703343408
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MINH THUẦN PHÁT,"0933369243
","3703343398
"
CÔNG TY TNHH ĐÁ HOA CƯƠNG SÀI GÒN STONE,"0962894309
","3703343380
"
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT KHÁNH PHÁT,"0976804537
","3703343373
"
CÔNG TY TNHH KỸ THUẬT TIẾN AN,"0398535001
","3703343366
"
CÔNG TY TNHH TMDV GIA PHÁT PHÚ,"0938636988
","3703343158
"
CÔNG TY TNHH SX- TM-DV MINH THƯ,"0973757758
","3703343045
"
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ KIM THÀNH DANH MP3,"0818249999
","3703343038
"
CÔNG TY TNHH MY GFF VN,"0399990438
","3703343020
"
CÔNG TY TNHH TMDV HOÀNG VĂN 9999,"0963600933
","3703343006
"
CÔNG TY TNHH XUẤT NHẬP KHẨU GOLDEN PATH,"0902879536
","3703342997
"
CÔNG TY TNHH TM DV ĐỨC PHÁT AUTO,"0908020336
","3703342972
"
CÔNG TY TNHH TM QUANG KHÔI,"0978997492
","3703342965
"
CÔNG TY TNHH DỊCH VỤ CƠ ĐIỆN BAN MAI,"0933043432
","3703342940
"
CÔNG TY TNHH TRANG TRÍ HỒNG UY (VIỆT NAM),"0366977918
","3703342933
"
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI HỮU TÙNG,"089926780
","3703342926
"
CÔNG TY TNHH DỊCH VỤ BẢO VỆ NAM TRƯỜNG THÀNH,"09162780790967
","3703342919
"
CÔNG TY TNHH PHÚ THỊNH PETROL,"0979184878
","3703342891
"
CÔNG TY TNHH HM LOGISTIC,"0968518701
","3703342884
"
CÔNG TY TNHH TM DV VẬN TẢI HOAN PHI LONG PHÁT,"0985014445
","3703342877
"
CÔNG TY TNHH SPMP LISAN VN,"0793322583
","3703342852
"
CÔNG TY TNHH WB ENERGY,"09068133288
","3703342845
"
CÔNG TY TNHH TMDV THIẾT KẾ XÂY DỰNG ĐẠI TÂN HƯNG,"0898519076
","3703342838
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI SẮT THÉP HOÀNG AN,"0914081954
","3703342820
"
CÔNG TY TNHH MTV NGUYÊN KHÔI FOOD,"0397447977
","3703342813
"
CÔNG TY TNHH TM DV CÔNG DANH PHÁT,"0985832730
","3703342806
"
CÔNG TY TNHH TIẾP VẬN SẾU XANH,"0913481246
","3703342796
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MỸ TRANG PHÁT,"0834120225
","3703342789
"
CÔNG TY TNHH DỊCH VỤ VẬN TẢI HÀNG HOÁ MINH KHÔI,"0777108968
","3703342711
"
CÔNG TY TNHH THƯƠNG MẠI XI NAN,"0931155888
","3703342764
"
CÔNG TY TNHH TM DV LÂM AN PHÚC,"0705451321
","3703342725
"
CÔNG TY TNHH TỔNG HỢP THƯƠNG MẠI DỊCH VỤ VẬN TẢI HỒNG LONG,"0898329130
","3703342718
"
CÔNG TY TNHH DỊCH VỤ NHA KHOA ĐẠI PHÁT,"0972275131
","3703342700
"
DOANH NGHIỆP TN TM DV TH DUY TÂN,"0906874447
","3703342690
"
CÔNG TY TNHH TM DV VẬN TẢI VIỆT PHÁT,"0384037878
","3703342683
"
CÔNG TY TNHH MTV THƯƠNG MẠI TỔNG HỢP LAN ANH,"0974150179
","3703342676
"
CÔNG TY TNHH MTV SAO MỘC,"0982992229
","3703342669
"
CÔNG TY TNHH SX TM VÀ DV VẬT TƯ IN LỤA PHÚ SƠN,"0972702744
","3703342524
"
CÔNG TY TNHH THƯƠNG MẠI TRUNG NGHĨA HÒA,"0824566598
","3703342482
"
CÔNG TY TNHH HOTEL NHẬT MINH,"0971464749
","3703342436
"
CÔNG TY TNHH GIA DỤNG ĐỨC SANG,"0938797355
","3703342073
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP SƠN KIM,"0898842311
","3703341785
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG Q&H,"0388319194
","3703341714
"
CÔNG TY TNHH TM DV PHONG VƯƠNG ĐẠT,"0933402770
","3703341707
"
CÔNG TY TNHH DV TM TỔNG HỢP MTV KIM LONG,"0898165943
","3703341665
"
CÔNG TY TNHH ANH LONG SPORT,"0917411744
","3703341658
"
CÔNG TY TNHH THƯƠNG MẠI VÀNG BẠC KIM TRỌNG,"0983757920
","3703341986
"
CÔNG TY TNHH LÔNG MI LÊ HẰNG,"0908158178
","3703341954
"
CÔNG TY TNHH LÔNG MI ĐỈNH AN,"0945545402
","3703341947
"
CÔNG TY TNHH NỘI THẤT THẾ KỶ VIỆT NAM,"0977100933
","3703341908
"
CÔNG TY TNHH MTV 141 NOTES,"0969456545
","3703341880
"
CÔNG TY TNHH SƠN Ô TÔ XUÂN HÒA,"0901434097
","3703341866
"
CÔNG TY CỔ PHẦN ĐẦU TƯ - XÂY DỰNG VÀ PHÁT TRIỂN NAM VIỆT GROUP,"0777770006
","3703342034
"
CÔNG TY TNHH SPA LAN,"0909480870
","3703340686
"
CÔNG TY TNHH XUẤT NHẬP KHẨU BẢN THỂ LỚN,"0987687476
","3703342115
"
CÔNG TY TNHH SẢN XUẤT NỘI THẤT NAM TRUNG,"0961327909
","3703342644
"
CÔNG TY TNHH HOA TƯƠI BẢO BÌNH,"0392719568
","3703342637
"
CÔNG TY TNHH THIẾT BỊ ĐIỆN NƯỚC - ĐIỆN CÔNG NGHIỆP THẮNG THỊNH PHÁT,"0976370600
","3703342612
"
CÔNG TY TNHH KINH DOANH THÉP TÂN THÀNH,"0965542430
","3703342605
"
CÔNG TY TNHH TH DV NAM MINH TRƯỜNG,"0335610877
","3703342429
"
CÔNG TY TNHH DỊCH VỤ KĨ THUẬT PCCC TRẦN GIA THỊNH,"0784935286
","3703342387
"
CÔNG TY TNHH ĐỒ CHƠI HÙNG THẮM,"0974929078
","3703342362
"
CÔNG TY TNHH PHỤ TÙNG CƠ GIỚI A TÀI,"0979796040
","3703342355
"
CÔNG TY TNHH GIẢI PHÁP THƯƠNG MẠI THÀNH TRUNG,"0782443437
","3703342348
"
CÔNG TY TNHH QUỐC TẾ HUANTENG (VIETNAM),"0393277511
","3703342330
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ THÀNH CÔNG PHÁT,"0369849926
","3703342323
"
CÔNG TY TNHH CÔNG NGHỆ TC 2025,"0385840064
","3703342316
"
CÔNG TY TNHH DỊCH VỤ VẬN TẢI ĐÔNG DƯƠNG PHÁT,"0963263471
","3703342309
"
CÔNG TY TNHH ĐẦU TƯ HẠ TẦNG VIỄN THÔNG LNL,"0974070427
","3703342299
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ÂN VŨ KHÁNH","0833636440
","3703342274
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỰC PHẨM LUCKIN","0797995529
","3703342267
"
"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MINH ĐƯỢC","0975204915
","3703342242
"
"CÔNG TY TNHH MTV TM DV THÁI LAN ANH","0963536255
","3703342235
"
"CÔNG TY TNHH NỘI THẤT QUÝ NHI","03639468680368
","3703342228
"
"CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ DTK","0865105782
","3703342210
"
"CÔNG TY TNHH THƯƠNG MẠI NGỌC HẢI ANH","0975906406
","3703342203
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐÀO ĐIỆP","0398702937
","3703342193
"
"CÔNG TY TNHH RC VIET","0978036310
","3703342186
"
"CÔNG TY TNHH XUẤT NHẬP KHẨU QUỐC TẾ ĐẠI PHÚC","09710066780915012
","3703342179
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Ô TÔ LONG THÀNH PHÁT","0974878832
","3703342161
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MAY MẶC THỊNH PHÁT","0964498955
","3703342147
"
"CÔNG TY TNHH MỘT THÀNH VIÊN AN GIA PHÁT","0962828140
","3703342122
"
"CÔNG TY TNHH VK BOND","0937286567
","3703342108
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PALLET NHẬT TIẾN","0918520937
","3703342098
"
,,
"CÔNG TY TNHH THUẬN AUTO","097471210
","3703342002
"
"CÔNG TY TNHH CHIANTI VIỆT NAM","0786578188
","3703341979
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRẦN GIA TRANG","0937849863
","3703341961
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐIỆN MÁY NGỌC SƠN","0906879805
","3703341922
"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Ô TÔ ĐỈNH HOẢ","0917102342
","3703341915
"
"CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU ĐẠI THÀNH PHÁT.VN","0986489190
","3703341898
"
"CÔNG TY TNHH CƠ KHÍ CHÍNH XÁC HDQ","0362178936
","3703341873
"
"CÔNG TY TNHH DƯỢC PHẨM KHANG NHIÊN","0972122918
","3703341859
"
"CÔNG TY TNHH KIM SA KHOA HOC KY THUAT","0904619387
","3703341841
"
"CÔNG TY TNHH TMDV SẢN XUẤT MAY MẶC PHƯƠNG ANH","0985077138
","3703341834
"
"CÔNG TY CỔ PHẦN GREAT TIMES HOLDINGS","0902342988
","3703341827
"
"CÔNG TY TNHH NÔNG SẢN BẢO ĐỨC FOOD","093261171
","3703341802
"
"CÔNG TY CP XUẤT NHẬP KHẨU ORITIC","0568968989
","3703341778
"
"CÔNG TY TNHH XÂY DỤNG PC","0932575857
","3703341760
"
"CÔNG TY TNHH TM DV ANH HƯƠNG","0986522186
","3703341746
"
"CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI SANDANI","0908553677
","3703341739
"
"CÔNG TY TNHH IN - PHOTOCOPY PHƯƠNG NGÂN","0925789879
","3703340887
"
"CÔNG TY TNHH DP STEEL","0973010290
","3703340301
"
"CÔNG TY TNHH SẢN XUẤT MUA BÁN GỖ SƠN TRẦN","0909242373
","3703341993
"
